gene	sample	condition	age	cpm
ENSOCUG00000000276	rabK380	RHDV-2_12	kitten	34.9146156268345
ENSOCUG00000000276	rabK381	RHDV-2_12	kitten	24.9078974207805
ENSOCUG00000000276	rabK3	control	kitten	29.9162652068966
ENSOCUG00000000276	rabK4	RHDV-1_24	kitten	100.324306422098
ENSOCUG00000000276	rabK5	RHDV-1_12	kitten	26.288080704468
ENSOCUG00000000276	rabK6	RHDV-1_24	kitten	51.5949256747828
ENSOCUG00000000276	rabK7	RHDV-1_12	kitten	28.5628844317489
ENSOCUG00000000276	rabK8	RHDV-1_24	kitten	54.2610549538166
ENSOCUG00000000276	rabK9	control	kitten	25.2799854722184
ENSOCUG00000000418	rabA130	control	adult	1.35829533966032
ENSOCUG00000000418	rabA440	control	adult	1.99939327373219
ENSOCUG00000000418	rabA443	RHDV-1_24	adult	8.50706086437339
ENSOCUG00000000418	rabA444	RHDV-1_12	adult	1.60722470705674
ENSOCUG00000000418	rabA445	control	adult	1.75709796379455
ENSOCUG00000000418	rabA446	control	adult	1.02892949527036
ENSOCUG00000000418	rabA447	control	adult	1.56530941104961
ENSOCUG00000000418	rabA448	RHDV-1_24	adult	7.6945725176021
ENSOCUG00000000418	rabA449	RHDV-1_24	adult	3.35171835196706
ENSOCUG00000000418	rabA450	RHDV-1_24	adult	1.73063906897815
ENSOCUG00000000418	rabA451	RHDV-1_12	adult	2.39780987170249
ENSOCUG00000000418	rabA452	RHDV-1_12	adult	2.01453563831226
ENSOCUG00000000418	rabK10	RHDV-1_24	kitten	1.94331373896369
ENSOCUG00000000418	rabK11	control	kitten	2.09832204854789
ENSOCUG00000000418	rabK12	control	kitten	2.02458676372322
ENSOCUG00000000418	rabK13	RHDV-1_12	kitten	1.65393987681096
ENSOCUG00000000418	rabK14	control	kitten	2.88236591258956
ENSOCUG00000000418	rabK1	RHDV-1_12	kitten	3.67967319914373
ENSOCUG00000000418	rabK2	control	kitten	4.0052329364667
ENSOCUG00000000418	rabK375	RHDV-2_24	kitten	5.47863446385408
ENSOCUG00000000418	rabK376	RHDV-2_24	kitten	7.60259047116618
ENSOCUG00000000418	rabK377	RHDV-2_24	kitten	9.02974777196646
ENSOCUG00000000418	rabK378	RHDV-2_24	kitten	3.98307410245127
ENSOCUG00000000418	rabK379	RHDV-2_12	kitten	1.56054234834868
ENSOCUG00000000418	rabK380	RHDV-2_12	kitten	1.54685005941672
ENSOCUG00000000418	rabK381	RHDV-2_12	kitten	1.71009444978493
ENSOCUG00000000418	rabK3	control	kitten	4.50546162754468
ENSOCUG00000000418	rabK4	RHDV-1_24	kitten	4.68237903785072
ENSOCUG00000000418	rabK5	RHDV-1_12	kitten	2.80277331040284
ENSOCUG00000000418	rabK6	RHDV-1_24	kitten	4.69044778861662
ENSOCUG00000000418	rabK7	RHDV-1_12	kitten	3.05441249703674
ENSOCUG00000000418	rabK8	RHDV-1_24	kitten	4.18749002486806
ENSOCUG00000000418	rabK9	control	kitten	2.38657205506957
ENSOCUG00000000543	rabA130	control	adult	6.57924305147969
ENSOCUG00000000543	rabA440	control	adult	9.60819545432416
ENSOCUG00000000543	rabA443	RHDV-1_24	adult	23.1896177636253
ENSOCUG00000000543	rabA444	RHDV-1_12	adult	5.6840873786153
ENSOCUG00000000543	rabA445	control	adult	5.22109109241809
ENSOCUG00000000543	rabA446	control	adult	9.3246735508876
ENSOCUG00000000543	rabA447	control	adult	6.15328527102259
ENSOCUG00000000543	rabA448	RHDV-1_24	adult	14.9594988540183
ENSOCUG00000000543	rabA449	RHDV-1_24	adult	14.6837184943319
ENSOCUG00000000543	rabA450	RHDV-1_24	adult	11.4302673392975
ENSOCUG00000000543	rabA451	RHDV-1_12	adult	10.4437941078597
ENSOCUG00000000543	rabA452	RHDV-1_12	adult	10.4006258536121
ENSOCUG00000000543	rabK10	RHDV-1_24	kitten	8.63694995094974
ENSOCUG00000000543	rabK11	control	kitten	12.6948483937147
ENSOCUG00000000543	rabK12	control	kitten	12.0725358873866
ENSOCUG00000000543	rabK13	RHDV-1_12	kitten	8.20844235158031
ENSOCUG00000000543	rabK14	control	kitten	15.3726182004777
ENSOCUG00000000543	rabK1	RHDV-1_12	kitten	11.2554709620867
ENSOCUG00000000543	rabK2	control	kitten	13.1248402379601
ENSOCUG00000000543	rabK375	RHDV-2_24	kitten	40.5652083706643
ENSOCUG00000000543	rabK376	RHDV-2_24	kitten	20.6114674996061
ENSOCUG00000000543	rabK377	RHDV-2_24	kitten	40.3328733814502
ENSOCUG00000000543	rabK378	RHDV-2_24	kitten	30.778299882578
ENSOCUG00000000543	rabK379	RHDV-2_12	kitten	12.2892709932458
ENSOCUG00000000543	rabK380	RHDV-2_12	kitten	9.4136875044503
ENSOCUG00000000543	rabK381	RHDV-2_12	kitten	5.72509881014954
ENSOCUG00000000543	rabK3	control	kitten	12.299910243197
ENSOCUG00000000543	rabK4	RHDV-1_24	kitten	11.6625922331652
ENSOCUG00000000543	rabK5	RHDV-1_12	kitten	12.7091272523439
ENSOCUG00000000543	rabK6	RHDV-1_24	kitten	10.2603545375988
ENSOCUG00000000543	rabK7	RHDV-1_12	kitten	9.53472009210116
ENSOCUG00000000543	rabK8	RHDV-1_24	kitten	11.1960259612262
ENSOCUG00000000543	rabK9	control	kitten	10.3860080174324
ENSOCUG00000000557	rabA130	control	adult	7.21594399194547
ENSOCUG00000000557	rabA440	control	adult	4.55417356794555
