gene	sample	condition	age	cpm
ENSOCUG00000000074	rabK6	RHDV-1_24	kitten	12.2147077828558
ENSOCUG00000000074	rabK7	RHDV-1_12	kitten	11.0619263406195
ENSOCUG00000000074	rabK8	RHDV-1_24	kitten	9.08024152760863
ENSOCUG00000000074	rabK9	control	kitten	18.827401767771
ENSOCUG00000000109	rabA130	control	adult	2.54680376186311
ENSOCUG00000000109	rabA440	control	adult	4.27648005770497
ENSOCUG00000000109	rabA443	RHDV-1_24	adult	0.819198453606327
ENSOCUG00000000109	rabA444	RHDV-1_12	adult	7.68331811178345
ENSOCUG00000000109	rabA445	control	adult	1.35547557207008
ENSOCUG00000000109	rabA446	control	adult	2.05785899054071
ENSOCUG00000000109	rabA447	control	adult	1.34940466469794
ENSOCUG00000000109	rabA448	RHDV-1_24	adult	7.65551377385793
ENSOCUG00000000109	rabA449	RHDV-1_24	adult	8.13988742620573
ENSOCUG00000000109	rabA450	RHDV-1_24	adult	2.6965771539892
ENSOCUG00000000109	rabA451	RHDV-1_12	adult	5.00875839866742
ENSOCUG00000000109	rabA452	RHDV-1_12	adult	7.77704455720547
ENSOCUG00000000109	rabK10	RHDV-1_24	kitten	10.904149313074
ENSOCUG00000000109	rabK11	control	kitten	8.44574624540525
ENSOCUG00000000109	rabK12	control	kitten	6.52366846088593
ENSOCUG00000000109	rabK13	RHDV-1_12	kitten	9.80112519591679
ENSOCUG00000000109	rabK14	control	kitten	7.8304273958683
ENSOCUG00000000109	rabK1	RHDV-1_12	kitten	6.49354093966541
ENSOCUG00000000109	rabK2	control	kitten	6.28513476184005
ENSOCUG00000000109	rabK375	RHDV-2_24	kitten	22.0311045461366
ENSOCUG00000000109	rabK376	RHDV-2_24	kitten	7.60259047116618
ENSOCUG00000000109	rabK377	RHDV-2_24	kitten	23.338425010621
ENSOCUG00000000109	rabK378	RHDV-2_24	kitten	17.3203373849018
ENSOCUG00000000109	rabK379	RHDV-2_12	kitten	17.3122666769931
ENSOCUG00000000109	rabK380	RHDV-2_12	kitten	16.5733934937505
ENSOCUG00000000109	rabK381	RHDV-2_12	kitten	5.94815460794757
ENSOCUG00000000109	rabK3	control	kitten	9.23619633646658
ENSOCUG00000000109	rabK4	RHDV-1_24	kitten	4.98586656808179
ENSOCUG00000000109	rabK5	RHDV-1_12	kitten	6.47537282058586
ENSOCUG00000000109	rabK6	RHDV-1_24	kitten	5.76534207350792
ENSOCUG00000000109	rabK7	RHDV-1_12	kitten	9.57599593665571
ENSOCUG00000000109	rabK8	RHDV-1_24	kitten	7.84603394133173
ENSOCUG00000000109	rabK9	control	kitten	7.95524018356522
ENSOCUG00000000149	rabA130	control	adult	6.5367963221153
ENSOCUG00000000149	rabA440	control	adult	6.88679905396645
ENSOCUG00000000149	rabA443	RHDV-1_24	adult	8.44404559871137
ENSOCUG00000000149	rabA444	RHDV-1_12	adult	7.87932112483915
ENSOCUG00000000149	rabA445	control	adult	4.1166295151758
ENSOCUG00000000149	rabA446	control	adult	9.06744117707002
ENSOCUG00000000149	rabA447	control	adult	6.42316620396218
ENSOCUG00000000149	rabA448	RHDV-1_24	adult	11.6395056357636
